"id"	"gene_symbol"	"terms"	"entrez_id"	"synonyms"	"chromosome"	"map_location"	"description"	"canonical_transcript"	"create_date"	"update_date"
"1029"	"CDKN2A"	"CDKN2A|ARF|CDK4I|CDKN2|CMM2|INK4|INK4A|MLM|MTS-1|MTS1|P14|P14ARF|P16|P16-INK4A|P16INK4|P16INK4A|P19|P19ARF|TP16"	"1029"	"ARF|CDK4I|CDKN2|CMM2|INK4|INK4A|MLM|MTS-1|MTS1|P14|P14ARF|P16|P16-INK4A|P16INK4|P16INK4A|P19|P19ARF|TP16"	"9"	"9p21.3"	"CDKN2A, cyclin-dependent kinase inhibitor 2A, is a tumor suppressor (PMID: 30562755) that encodes p16 and p14ARF from alternate reading frames, which function to inhibit Cdk4 and Cdk6 and regulate Tp53 activity to promote cell-cycle arrest (PMID: 23875803, PMID: 17055429, PMID: 27428416). CDKN2A germline mutations are associated with familial atypical multiple mole melanoma and somatic mutations are highest in pancreatic, HNSCC, NSCLC, and melanoma (PMID: 27283171)."	"NM_000077"	"05/26/2013"	"12/31/2018"
"1050"	"CEBPA"	"CEBPA|C/EBP-alpha|CEBP"	"1050"	"C/EBP-alpha|CEBP"	"19"	"19q13.11"	"CEBPA, CCAAT enhancer binding protein alpha, is a transcription factor that regulates the expression of genes involved in cell differentiation (PMID: 26601784). Inactivation of CEBPA is associated with the pathogenesis of leukemia and dysregulation of CEBPA has been identified in various solid tumors (PMID: 28720765, PMID: 28504718)."	"NM_004364"	"05/25/2013"	"03/16/2018"
"1436"	"CSF1R"	"CSF1R|BANDDOS|C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R"	"1436"	"BANDDOS|C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R"	"5"	"5q32"	"CSF1R, macrophage colony-stimulating factor 1 receptor, is a tyrosine kinase and receptor for CSF1 and IL34, which upon ligand binding activates PI3K-AKT-mTOR, RAS-RAF-MEK-ERK and STAT signaling pathways (PMID: 22186992). CSF1R is expressed by tumor-associated macrophages to induce tumor promotion (PMID: 30065206) and therefore, a number of therapies to block Csf1r are under development (PMID: 28716061)."	"NM_005211"	"05/25/2013"	"07/05/2019"
"1441"	"CSF3R"	"CSF3R|CD114|GCSFR|SCN7"	"1441"	"CD114|GCSFR|SCN7"	"1"	"1p34.3"	"CSF3R, colony stimulating factor 3 receptor, encodes a cytokine receptor regulating proliferation and differentiation of myeloid progenitor cells (PMID: 27789332). CSF3R mutations commonly occur in chronic neutrophilic leukemia and acute myeloid leukemia (PMID: 23896413, PMID: 30348809)."	"NM_000760"	"05/26/2013"	"02/19/2019"
"1499"	"CTNNB1"	"CTNNB1|armadillo|CTNNB|EVR7|MRD19|NEDSDV"	"1499"	"armadillo|CTNNB|EVR7|MRD19|NEDSDV"	"3"	"3p22.1"	"CTNNB1, beta-catenin, is a member of the Wnt signaling pathway, component of cadherin-based adherens junctions, and is also a tumor antigen recognized by T-cells in melanoma (PMID: 29403496). CTNNB1 imbalance is implicated in cancer progression and metastasis (PMID: 22617422) and exon 3 mutations are common in endometrioid endometrial carcinoma and melanoma (PMID: 29435196)."	"NM_001098210"	"05/26/2013"	"04/29/2019"
"4921"	"DDR2"	"DDR2|MIG20a|NTRKR3|TKT|TYRO10|WRCN"	"4921"	"MIG20a|NTRKR3|TKT|TYRO10|WRCN"	"1"	"1q23.3"	"DDR2, discoidin domain-containing receptor 2, is a tyrosine kinase receptor activated by collagen, promoting cell migration, proliferation, and survival (PMID: 22328973, PMID: 27398168). Altered expression and mutations of DDR2 have been identified in a variety of solid tumors, including ovarian (PMID: 27398168), lung (PMID: 28161936), gastric (PMID: 27350126), and HNSCC (PMID: 27434411)."	"NM_001014796"	"05/22/2013"	"02/21/2019"
"1788"	"DNMT3A"	"DNMT3A|DNMT3A2|M.HsaIIIA|TBRS"	"1788"	"DNMT3A2|M.HsaIIIA|TBRS"	"2"	"2p23.3"	"DNMT3A, DNA methyltransferase 3 alpha, mediates DNA methylation and functions in modification of gene expression, and plays a role in hematopoietic differentiation (PMID: 28286768, PMID: 25693834), DNMT3A mutations are frequent in acute myeloid leukemia, and are recurrent in myelodysplastic syndromes (PMID: 28286768, PMID: 28003281)."	"NM_022552"	"05/25/2013"	"02/15/2018"
"1956"	"EGFR"	"EGFR|ERBB|ERBB1|HER1|mENA|NISBD2|PIG61"	"1956"	"ERBB|ERBB1|HER1|mENA|NISBD2|PIG61"	"7"	"7p11.2"	"EGFR (HER1), epidermal growth factor receptor, is a tyrosine kinase receptor, which activates RAS/RAF/MEK and PI3K/AKT/mTOR pathways, leading to increased cell proliferation and growth (PMID: 24312144). EGFR activating mutations, amplification, and overexpression are found in a variety of tumor tumors, including non-small cell lung cancer (PMID: 26609494, PMID: 30284706) and colorectal cancer (PMID: 30243897), and the EGFRvIII variant is commonly found in glioblastoma (PMID: 30201736)."	"NM_005228"	"05/26/2013"	"10/08/2018"
"27436"	"EML4"	"EML4|C2orf2|ELP120|EMAP-4|EMAPL4|ROPP120"	"27436"	"C2orf2|ELP120|EMAP-4|EMAPL4|ROPP120"	"2"	"2p21"	"EML4, echinoderm microtubule associated protein like 4, plays a role in microtubule formation (PMID: 16890222). The fusion protein of EML4-ALK results in transformation activity and is present in a small percentage of patients with non-small cell lung cancer (PMID: 17625570, PMID: 23341890)."	"NM_019063"	"05/12/2013"	"02/23/2018"
"2064"	"ERBB2"	"ERBB2|CD340|HER-2|HER-2/neu|HER2|MLN 19|NEU|NGL|TKR1"	"2064"	"CD340|HER-2|HER-2/neu|HER2|MLN 19|NEU|NGL|TKR1"	"17"	"17q12"	"ERBB2 (HER2), erb-b2 receptor tyrosine kinase 2, is an EGFR receptor tyrosine kinase that activates PI3K-AKT-mTOR and RAS-RAF-MEK-ERK pathways, therefore regulating growth and transformation (PMID: 17471238). ERBB2 (HER2) amplification, overexpression, and activation has been implicated in several tumor types (PMID: 17471238)."	"NM_004448"	"05/26/2013"	"05/08/2018"
"2066"	"ERBB4"	"ERBB4|ALS19|HER4|p180erbB4"	"2066"	"ALS19|HER4|p180erbB4"	"2"	"2q34"	"ERBB4, erb-b2 receptor tyrosine kinase 4, encodes HER4, an ERBB family member that plays a role in cell survival and differentiation (PMID: 12648466). ERBB4 activating mutations are frequent in melanoma, and have been demonstrated in lung adenocarcinoma (PMID: 19718025, PMID: 26050618)."	"NM_005235"	"05/25/2013"	"02/22/2018"
"2120"	"ETV6"	"ETV6|TEL|TEL/ABL|THC5"	"2120"	"TEL|TEL/ABL|THC5"	"12"	"12p13.2"	"ETV6, ets variant 6, is a member of the ETS family of transcription factors, which functions as a transcriptional repressor and is involved in hematopoietic differentiation (PMID: 16828711). Fusions of ETV6 with various partners are frequently associated with hematological cancers (PMID: 22528774)."	"NM_001987"	"05/25/2013"	"12/07/2017"
"2146"	"EZH2"	"EZH2|ENX-1|ENX1|EZH2b|KMT6|KMT6A|WVS|WVS2"	"2146"	"ENX-1|ENX1|EZH2b|KMT6|KMT6A|WVS|WVS2"	"7"	"7q36.1"	"EZH2, enhancer of zeste 2 polycomb repressive complex 2 subunit, encodes the catalytic subunit of the polycomb repressive complex 2, which methylates histone H3 to represses gene transcription, including a number of tumor suppressor genes (PMID: 24362326, PMID: 30112706). EZH2 mutations and overexpression has been observed in a variety of tumor types, including non-Hodgkin lymphoma (PMID: 30112706), leukemia (PMID: 29289837), and ovarian cancer (PMID: 29726819)."	"NM_001203247"	"05/22/2013"	"02/22/2019"
"55294"	"FBXW7"	"FBXW7|AGO|CDC4|FBW6|FBW7|FBX30|FBXO30|FBXW6|hAgo|hCdc4|SEL-10|SEL10"	"55294"	"AGO|CDC4|FBW6|FBW7|FBX30|FBXO30|FBXW6|SEL-10|SEL10|hAgo|hCdc4"	"4"	"4q31.3"	"FBXW7, F-box/WD repeat-containing protein 7, is part of the SCF E3 ubiquitin-protein ligase complex. FBXW7 participates in the degradation of a variety of oncoproteins and is deleted or mutated in many cancers (PMID: 22673505), including colorectal (PMID: 28424412)."	"NM_033632"	"05/25/2013"	"12/07/2017"
"2260"	"FGFR1"	"FGFR1|bFGF-R-1|BFGFR|CD331|CEK|ECCL|FGFBR|FGFR-1|FLG|FLT-2|FLT2|HBGFR|HH2|HRTFDS|KAL2|N-SAM|OGD"	"2260"	"bFGF-R-1|BFGFR|CD331|CEK|ECCL|FGFBR|FGFR-1|FLG|FLT-2|FLT2|HBGFR|HH2|HRTFDS|KAL2|N-SAM|OGD"	"8"	"8p11.23"	"FGFR1, fibroblast growth factor receptor 1, is a receptor tyrosine kinase activated upon binding of the FGF ligand, which activates RAS-MAPK and PI3K-AKT pathways (PMID: 22508544). Altered function of Fgfr1 may lead to increased cell proliferation and decreased apoptosis (PMID: 22508544) and amplification and/or overexpression has been identified in colorectal cancer (PMID: 30181810), gastric cancer (PMID: 29976636), and breast cancer (PMID: 30119151)."	"NM_023110"	"05/25/2013"	"05/23/2019"
"2263"	"FGFR2"	"FGFR2|BBDS|BEK|BFR-1|CD332|CEK3|CFD1|ECT1|JWS|K-SAM|KGFR|TK14|TK25"	"2263"	"BBDS|BEK|BFR-1|CD332|CEK3|CFD1|ECT1|JWS|K-SAM|KGFR|TK14|TK25"	"10"	"10q26.13"	"FGFR2, fibroblast growth factor receptor 2, is a receptor tyrosine kinase activated upon binding of the FGF ligand, which activates RAS-MAPK and PI3K-AKT pathways (PMID: 22508544).  Altered function of FGFR2 through activating mutations, fusions, and amplification increases cell proliferation and tumorigenesis (PMID: 22508544) and is observed in prostate (PMID: 30761180), breast, lung, uterine, and ovarian cancers (PMID: 29104507), while FGFR2 amplification (PMID: 31076567) and overexpression (PMID: 30662521) is commonly observed in gastric cancer."	"NM_000141"	"05/25/2013"	"05/23/2019"
"2261"	"FGFR3"	"FGFR3|ACH|CD333|CEK2|HSFGFR3EX|JTK4"	"2261"	"ACH|CD333|CEK2|HSFGFR3EX|JTK4"	"4"	"4p16.3"	"FGFR3, fibroblast growth factor receptor 3, is a receptor tyrosine kinase activated upon binding of the FGF ligand, which activates RAS-MAPK and PI3K-AKT pathways (PMID: 22508544). Altered function of FGFR3 in cancer may lead to increased cell proliferation and decreased apoptosis (PMID: 22508544) and mutations and fusions are commonly observed in bladder cancer (PMID: 30975452, PMID: 23175443)."	"NM_000142"	"05/26/2013"	"05/31/2019"
"2322"	"FLT3"	"FLT3|CD135|FLK-2|FLK2|STK1"	"2322"	"CD135|FLK-2|FLK2|STK1"	"13"	"13q12.2"	"FLT3, receptor-type tyrosine-protein kinase FLT3, activates Akt, Ras, and Erk pathways to regulate differentiation, proliferation, and survival of hematopoietic progenitor cells (PMID: 29316714, PMID: 28538663).  Activating mutations of FLT3 are common in hematologic tumors (PMID: 19467916) and the internal tandem duplication (ITD) mutation is commonly observed in acute myeloid leukemia (PMID: 30181385)."	"NM_004119"	"05/26/2013"	"09/18/2018"
"668"	"FOXL2"	"FOXL2|BPES|BPES1|PFRK|PINTO|POF3"	"668"	"BPES|BPES1|PFRK|PINTO|POF3"	"3"	"3q22.3"	"FOXL2, forkhead box L2, encodes for a transcription factor that is a member of the forked-winged helix family and plays a role in ovary development (PMID: 21640373). FOXL2 is commonly mutated in granulosa-cell tumors (PMID: 19956657)."	"NM_023067"	"05/22/2013"	"08/29/2018"
"2623"	"GATA1"	"GATA1|ERYF1|GATA-1|GF-1|GF1|NF-E1|NFE1|XLANP|XLTDA|XLTT"	"2623"	"ERYF1|GATA-1|GF-1|GF1|NF-E1|NFE1|XLANP|XLTDA|XLTT"	"X"	"Xp11.23"	"GATA1, GATA binding protein 1, is a transcriptional activator or repressor, which plays a role in erythroid development. GATA1 mutations are associated with Down Syndrome preleukemia and leukemia (PMID: 25435116; PMID: 24880866)."	"NM_002049"	"05/26/2013"	"12/07/2017"
"2624"	"GATA2"	"GATA2|DCML|IMD21|MONOMAC|NFE1B"	"2624"	"DCML|IMD21|MONOMAC|NFE1B"	"3"	"3q21.3"	"GATA2, GATA binding protein 2, is a zinc-finger transcription factor that plays a central role in regulating the proliferation and survival of hematopoietic stem cells (PMID: 22192845). Mutations in GATA2 are associated with myelodysplastic syndrome and leukemia (PMID: 22192845) and decreased expression has been associated with melanoma progression (PMID: 29156497)."	"NM_032638"	"05/22/2013"	"09/05/2018"
"2767"	"GNA11"	"GNA11|FBH|FBH2|FHH2|GNA-11|HHC2|HYPOC2"	"2767"	"FBH|FBH2|FHH2|GNA-11|HHC2|HYPOC2"	"19"	"19p13.3"	"GNA11, G protein subunit alpha 11, is a guanine nucleotide-binding protein (G protein) subunit, which is activated following ligand binding to G-protein coupled receptors and functions in cell signaling (PMID: 27148356). GNA11 hotspot mutations impair intrinsic Gna11 GTPase activity, resulting in constitutive pathway activation and are common in uveal melanoma (PMID: 23640210, PMID: 27148356, PMID: 29209985)."	"NM_002067"	"05/25/2013"	"10/09/2018"
"2776"	"GNAQ"	"GNAQ|CMC1|G-ALPHA-q|GAQ|SWS"	"2776"	"CMC1|G-ALPHA-q|GAQ|SWS"	"9"	"9q21.2"	"GNAQ, G protein subunit alpha q, is a guanine-binding protein (G protein) subunit, which is activated following ligand binding to G-protein coupled receptors and functions in cell signaling (PMID: 27148356). GNAQ hotspot mutations impair intrinsic GTPase activity, resulting in constitutive pathway activation and are common in uveal melanoma (PMID: 23640210, PMID: 27148356)."	"NM_002072"	"05/25/2013"	"12/07/2017"
"2778"	"GNAS"	"GNAS|AHO|C20orf45|GNAS1|GPSA|GSA|GSP|NESP|PITA3|POH|SCG6|SgVI"	"2778"	"AHO|C20orf45|GNAS1|GPSA|GSA|GSP|NESP|PITA3|POH|SCG6|SgVI"	"20"	"20q13.32"	"GNAS, GNAS complex locus, is a GTPase that is activated upon ligand binding of a G-protein coupled receptor, and is involved in mediating hormone response (PMID: 23640210, PMID: 25851935). Hotspot mutations impair Gnas GTPase activity, resulting in constitutive pathway activation and are common in a variety of tumor types (PMID: 23640210)."	"NM_080425"	"05/25/2013"	"10/09/2018"
"6927"	"HNF1A"	"HNF1A|HNF-1A|HNF1|HNF4A|IDDM20|LFB1|MODY3|TCF-1|TCF1"	"6927"	"HNF-1A|HNF1|HNF4A|IDDM20|LFB1|MODY3|TCF-1|TCF1"	"12"	"12q24.31"	"HNF1A, HNF1 homeobox A, is a transcription factor that demonstrates tumor suppressor activity and plays a role in hepatocyte differentiation and glucose transport (PMID: 25233928, PMID: 26855178, PMID: 25076298). HNF1A inactivating mutations are associated with hepatic adenomas (PMID: 25076298)."	"NM_000545"	"05/29/2013"	"04/24/2018"
"3265"	"HRAS"	"HRAS|C-BAS/HAS|C-H-RAS|C-HA-RAS1|c-K-ras|c-Ki-ras|CTLO|H-RASIDX|HAMSV|HRAS1|Ki-Ras|KRAS|KRAS2|p21ras|RASH1|RASK2"	"3265"	"C-BAS/HAS|C-H-RAS|C-HA-RAS1|c-K-ras|c-Ki-ras|CTLO|H-RASIDX|HAMSV|HRAS1|Ki-Ras|KRAS|KRAS2|p21ras|RASH1|RASK2"	"11"	"11p15.5"	"HRAS, HRas proto-oncogene, GTPase, is a member of the small GTPase family that upon activation by growth factors stimulates multiple downstream pathways such as RAF and PI3K to promote cell proliferation and survival (PMID: 21779504). HRAS activating mutations are commonly found in tumors, including dermatological, head and neck, thyroid, kidney, and bladder cancers (PMID: 29524560)."	"NM_001130442"	"05/26/2013"	"09/21/2018"
"3417"	"IDH1"	"IDH1|HEL-216|HEL-S-26|IDCD|IDH|IDP|IDPC|PICD"	"3417"	"HEL-216|HEL-S-26|IDCD|IDH|IDP|IDPC|PICD"	"2"	"2q34"	"IDH1, isocitrate dehydrogenase (NADP(+)) 1, cytosolic, is an enzyme that catalyzes the conversion of isocitrate to alpha-ketoglutarate (alpha-KG), and is involved in the tricarboxylic acid cycle (PMID: 23999441, PMID: 28711227). Mutations in IDH1 are associated with aberrant conversion of alpha-KG to 2-HG, which is an oncogenic metabolite, and are recurrent in acute myeloid leukemia and glioma (PMID: 23999441, PMID: 28711227)."	"NM_005896"	"05/26/2013"	"03/22/2018"
"3418"	"IDH2"	"IDH2|D2HGA2|ICD-M|IDH|IDHM|IDP|IDPM|mNADP-IDH"	"3418"	"D2HGA2|ICD-M|IDH|IDHM|IDP|IDPM|mNADP-IDH"	"15"	"15q26.1"	"IDH2, isocitrate dehydrogenase (NADP(+)) 2, mitochondrial, is an enzyme that catalyzes the conversion of isocitrate to alpha-ketoglutarate (alpha-KG), and is involved in the tricarboxylic acid cycle (PMID: 28711227, PMID: 28980701). Mutations in IDH2 are associated with aberrant conversion of alpha-KG to 2-HG, which is an oncogenic metabolite, and are recurrent in acute myeloid leukemia and subtypes of glioma (PMID: 27621679, PMID: 19228619, PMID: 23999441)."	"NM_002168"	"05/26/2013"	"03/22/2018"
"10320"	"IKZF1"	"IKZF1|CVID13|Hs.54452|IK1|IKAROS|LyF-1|LYF1|PPP1R92|PRO0758|ZNFN1A1"	"10320"	"CVID13|Hs.54452|IK1|IKAROS|LyF-1|LYF1|PPP1R92|PRO0758|ZNFN1A1"	"7"	"7p12.2"	"IKZF1, IKAROS family zinc finger 1, is a zinc finger transcription factor that regulates hematopoietic differentiation and immune system development, and functions as a tumor suppressor (PMID: 24659638, PMID: 22150303). Mutations in IKZF1 are associated with acute lymphoblastic leukemia (PMID: 24659638, PMID: 22150303) and IKZF1 deletions have been observed in pediatric precursor B-cell ALL (PMID: 31076445)."	"NM_006060"	"05/26/2013"	"05/15/2019"
"3717"	"JAK2"	"JAK2|JTK10|THCYT3"	"3717"	"JTK10|THCYT3"	"9"	"9p24.1"	"JAK2, tyrosine-protein kinase JAK2, is a non-receptor protein tyrosine kinase that binds cytokine receptors to activate the interferon-alpha/beta/gamma pathway and is a member of the JAK/STAT signaling pathway (PMID: 15575979, PMID: 30092288). JAK2 mutations are observed in a variety of tumor types, including myeloproliferative neoplasms (PMID: 30074114), lymphoma (PMID: 29984752), leukemia (PMID: 29979407), and cervical cancer (PMID: 30003068)."	"NM_004972"	"05/26/2013"	"10/01/2018"
